,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
73,E26301,,,2022-02-14,3660,株式会社アイスタイル,情報・通信業,-633000000.0,14118000000.0,13744000000.0,3499000000.0,1966000000.0,-6330000000.0,1124200000.0,-7171800000.0,74146800.0,-96.72433604686918,184.0,2022-02-22 15:15:02,-0.5256757393851587
74,E03416,,,2022-02-14,2780,株式会社コメ兵ホールディングス,小売業,2654152000.0,29111426000.0,14463512000.0,2555328000.0,4886745000.0,26541520000.0,14310539600.0,35965314600.0,11257000.0,3194.9288975748423,1615.0,2022-02-22 15:15:00,1.9782841471051655
75,E04800,,,2022-02-10,9761,東海リース株式会社,サービス業,400655000.0,10894590000.0,7714869000.0,771350000.0,7473740000.0,4006550000.0,2408097200.0,-1059092800.0,3494322.0,-303.08964085164445,1605.0,2022-02-21 09:00:00,-0.18884089772688128
76,E00417,,,2021-11-12,25790,コカ・コーラ ボトラーズジャパンホールディングス株式会社,食料品,0.0,283809000000.0,154437000000.0,0.0,0.0,0.0,98484600000.0,98484600000.0,206268593.0,477.45804907875623,0.0,,0.0
77,E01139,,,2021-11-12,5331,株式会社ノリタケカンパニーリミテド,ガラス・土石製品,4194000000.0,69283000000.0,33374000000.0,42263000000.0,10367000000.0,41940000000.0,71497200000.0,103070200000.0,14842849.0,6944.098131025924,4320.0,2022-02-22 15:15:01,1.6074301229226675
78,E00660,,,2021-11-12,3880,大王製紙株式会社,パルプ・紙,19235000000.0,297141000000.0,228123000000.0,49214000000.0,350948000000.0,192350000000.0,72607400000.0,-85990600000.0,169012926.0,-508.7812041074302,1736.0,2022-02-22 09:27:06,-0.2930767304766303
79,E03493,,,2021-11-12,7823,株式会社アートネイチャー,その他製品,1561000000.0,26159000000.0,12677000000.0,9162000000.0,7669000000.0,15610000000.0,20108600000.0,28049600000.0,34393200.0,815.5565635067397,722.0,2022-02-22 09:00:00,1.12957972784867
80,E02344,,,2021-11-12,7745,株式会社エー・アンド・デイ,精密機器,2134000000.0,39615000000.0,24324000000.0,2389000000.0,5720000000.0,21340000000.0,12815200000.0,28435200000.0,22601400.0,1258.1167538294087,888.0,2022-02-22 15:15:00,1.4167981462042891
81,E04462,,,2021-11-12,4676,株式会社フジ・メディア・ホールディングス,情報・通信業,11576000000.0,415485000000.0,147450000000.0,502011000000.0,415770000000.0,115760000000.0,740556000000.0,440546000000.0,234194500.0,1881.1116401111042,1237.0,2022-02-22 15:15:00,1.5207046403485078
82,E04972,,,2022-02-14,4657,株式会社　環境管理センター,サービス業,-54772000.0,1914051000.0,1733466000.0,329598000.0,1283392000.0,-547720000.0,163489800.0,-1667622200.0,4722305.0,-353.1373344161379,412.0,2022-02-22 11:25:30,-0.8571294524663541
83,E02481,,,2021-11-11,7832,株式会社バンダイナムコホールディングス,その他製品,61751000000.0,481553000000.0,185783000000.0,190847000000.0,49338000000.0,617510000000.0,449460400000.0,1017632400000.0,222000000.0,4583.92972972973,7650.0,2022-02-22 15:15:00,0.5992065006182653
84,E26216,,,2022-02-10,6618,株式会社大泉製作所,電気機器,466289000.0,7693023000.0,4318955000.0,364863000.0,3753312000.0,4662890000.0,2875140000.0,3784718000.0,8461968.0,447.2621498923182,650.0,2022-02-22 13:23:33,0.688095615218951
